HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,ML_pred,lambda
-0.199728703,-0.082078244,14.73909359,77.89999995,123.8800009,-6.680000002,14.12128619,0.9427,0.4397,5.314100001,3.837399998,0.9335,0.5634,5.495100002,3.415100003,0.8886,0.4299,5.801299999,4.254000001,0.864,0.4509,4.829999999,3.576299997,0.7534,0.5486,4.153200001,2.4357,0.8259,0.5168,4.986600001,2.611899999,1,1,2,1.999999999,1.935930009,2.011384846,2.094812163,2.112964505,4.84062192,4.840860298,5.324343675,5.325599454,569.0109305,1.4448,552.2964478,550
-0.240136234,-0.104252441,19.46192417,277.9000001,24.85999951,-9.119999999,14.1212791,0.8611,0.6297,4.968200003,1.955000003,0.8643,0.5947,4.794600001,2.169500002,0.8473,0.2307,4.4564,3.201399999,0.7092,0.7096,3.927600001,1.410700002,0.8034,0.5178,4.562500001,2.645299999,0.7753,0.6626,4.225099998,1.070999998,2,1,2,4,1.967579986,2.004433835,2.185423986,2.378519287,5.324482115,4.8410457,5.324960758,8.105006153,564.4445465,1.4448,526.9240723,534
-0.201153371,-0.067640927,18.33386783,39.81000012,42.60000071,-10.9,14.1212825,0.8537,0.7138,4.605399998,1.170100002,0.894,0.4712,6.164100002,2.384799997,0.9436,0.4445,7.6514,0.890100002,0.7087,0.6807,3.296900001,1.383400002,0.7257,0.6242,3.502099998,1.359200002,0.758,0.5846,4.723,4.204200003,1,1,3,3.000000001,1.943181155,1.948720093,2.080460045,2.081448774,4.841135664,4.84113669,5.74490548,5.744615733,616.3940935,1.4305,547.736145,531
-0.191484528,-0.075303534,9.569732098,33.59999989,242.1899996,-7.980000003,14.12127596,0.866,0.512,5.670599998,2.9733,0.8944,0.3839,6.422500001,4.438400001,0.9373,0.382,7.556199998,2.246699999,0.7556,0.5171,4.403999999,2.878299999,0.7288,0.4792,3.840400002,5.0882,0.7764,0.4699,5.160299998,1.172199998,2,1.999999999,3,3.000000001,1.97102968,1.976836614,2.042601772,2.04522346,5.324453473,5.324428435,5.744259642,5.744924963,632.3078732,1.4448,553.0870361,568
-0.191461256,-0.116609677,3.407570023,92.99000001,334.0000003,-7.340000002,14.1212809,0.971,0.2848,5.9522,4.548200002,0.9408,0.3702,5.398499999,4.121799997,0.9497,0.3564,5.3241,3.753800001,0.9559,0.2881,5.776,4.532300001,0.8972,0.3715,5.012899998,4.1029,0.9205,0.3784,5.4662,3.889200003,1,1,2,1.999999999,1.982253516,1.998327801,2.173168194,2.190175564,4.840239067,4.840321942,5.325439903,5.324998926,995.0408454,1.406,619.8504639,590
-0.231390442,-0.089423879,9.681817618,47.46999961,193.9700004,-7.78,14.12127971,0.7938,0.688,3.797200003,0.868300002,0.8472,0.5629,4.254299999,1.949999997,0.8101,0.6981,3.980600001,0.428500001,0.6927,0.6931,3.421300001,0.913799999,0.7562,0.7168,3.790399999,1.016099998,0.7695,0.5677,3.898799998,1.942500001,1,1.999999999,2,4,1.912066944,2.053768487,2.092800038,2.493001805,4.841230199,5.324776855,5.324718567,8.1049933,532.659777,1.4448,488.1902466,491
-0.2006094,-0.079182753,10.86631982,94.99000006,50.99999948,-6.499999998,14.12128492,0.9701,0.3037,6.508700002,5.4157,0.9296,0.4049,5.495699998,3.863000002,0.9109,0.5116,5.255399998,2.373399999,0.9018,0.3389,5.880299998,5.0209,0.8686,0.418,5.017399999,3.747999998,0.7474,0.5876,4.075699998,1.956099998,1,1,1,1.999999999,1.991188088,2.038973761,2.060042233,2.084146348,4.840334636,4.840345776,4.84205947,5.324792583,495.3144841,1.4448,528.2105103,525
-0.208582078,-0.065050752,12.74508773,5.340000363,48.42000063,-6.33,14.12128591,0.8739,0.6176,3.833,0.518699998,0.8756,0.657,3.488200001,0.3189,0.8776,0.6919,3.946400001,0.518899998,0.8093,0.6191,3.634,0.493200002,0.7091,0.6884,3.322099999,0.2202,0.7849,0.6448,4.0415,1.4971,1,1,1,1,2.00625148,2.00625148,2.069543186,2.069543186,4.840545266,4.840545423,4.841988687,4.841986242,491.2389118,1.4448,494.5605774,471
-0.220548842,-0.09115909,17.06387666,111.5399996,37.57999971,-12,14.12127866,0.8954,0.5837,5.536499998,3.257099999,0.9573,0.4822,6.632999998,5.267300001,0.8152,0.6426,4.867699998,1.478900002,0.7239,0.5567,3.849900001,3.896599999,0.7573,0.6026,4.489899998,1.841699999,0.8286,0.5749,5.321299998,3.006400002,2,1,2,4,1.974027609,2.004341787,2.181147863,2.388473152,5.324463946,4.840843076,5.324952092,8.105004671,584.0818844,1.4448,537.9022217,533
-0.236121179,-0.087860072,7.702170293,46.88999974,197.6799993,-7.610000002,14.12127973,0.7706,0.7159,3.768999998,0.662,0.8529,0.5785,4.430500001,0.369300001,0.7324,0.2925,3.349799999,2.078100001,0.6804,0.7135,3.415,0.749300003,0.7697,0.6412,4.021400002,1.343699998,0.6953,0.6465,3.469000002,1.5232,1,1.999999999,2,4,1.918026329,2.045474517,2.086229613,2.488007235,4.841189685,5.324702937,5.324630763,8.104996673,508.8244095,1.4448,476.6061707,465
