Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
4.964629807,5.063874138,5.04624418,5.065928459,5.071355909
4.833338267,4.899953379,4.958029196,4.88679409,4.711934982
4.700942503,4.677074005,4.655460095,4.631224632,4.209750628
4.849917842,4.965665617,4.916259042,4.937551498,4.729846571
4.809705427,4.731478156,4.805903507,4.742371559,5.065266731
4.961865584,5.040400358,5.043642279,5.039353848,5.375663614
4.947536758,5.051480799,5.064236352,5.0337286,5.363177902
4.916564062,4.972165455,4.941967316,4.923304558,4.83069473
4.916778931,5.047303072,5.007953566,4.967305183,5.009545318
4.910125357,4.949202024,5.07807879,4.851830959,5.426511261
4.960070054,4.955983006,5.084325754,5.006119728,5.484299839
4.988446546,4.943961681,5.122820899,5.006556988,5.480006943
4.976533313,4.928158423,5.0955297,4.988545895,5.51054501
4.919403149,4.991523141,4.941932541,5.010791302,4.879669206
5.010709567,5.167996083,5.054563144,5.123399734,5.152288344
4.882983588,4.837553655,4.952896313,4.909601688,5.274157849
4.701631417,4.710284247,4.801039269,4.692275524,4.463892989
4.325152527,4.30189079,4.267652463,4.227046967,4.416640507
4.801946084,4.838494739,4.845859081,4.821635246,4.397940009
4.818531521,4.819952147,4.877129424,4.783286095,4.895422546
5.075502335,5.204170998,5.068882251,5.011826992,5.195899652
5.050319658,5.144183875,4.971279111,4.957084179,5.11058971
5.099818969,5.218948523,5.237020923,5.151868343,5.311753861
5.083144822,5.169733047,5.155240161,5.123191833,5.222716471
