HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,Exp. Quantum Yield
-0.206302415,-0.07969944,9.25411474,147.21,2008.2,-10.20729901,1.83581,14.12127964,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,4.839984172,4.840089806,5.325093076,4.84050915,1.4448,0.31
-0.221703564,-0.100455359,18.6856941,3.6,9.76,-8.151855874,2.24375,14.12128616,0.8953,0.5069,6.3092,4.3712,0.8626,0.4758,5.0265,3.0509,0.8698,0.2505,5.27,3.9977,0.8062,0.5188,5.5714,3.8407,0.7844,0.5157,4.5442,2.5447,0.7466,0.5645,4.4321,2.1239,1,2,1,2,1.925454232,1.97796006,2.025607069,2.176206332,4.842994486,5.324677564,4.840881076,5.324948976,1.4448,0.99
-0.230020067,-0.103235699,17.7063429,780.49,20.9,-8.28054129,2.08519,14.12128032,0.8506,0.5173,4.6647,2.6471,0.8517,0.5999,5.0814,1.4715,0.8073,0.3177,4.1643,3.2321,0.7551,0.6093,4.4773,1.529,0.81,0.5146,4.4298,2.7773,0.7828,0.3159,4.0591,3.22,2,1,2,4,1.925360486,2.020692208,2.181524467,2.371319042,5.324572465,4.840931162,5.325044932,8.104999162,1.4448,0.07
-0.218127302,-0.056633495,5.3753601,232.11,577.3,-7.410116824,2.59957,14.12128072,0.8245,0.553,4.0609,1.7717,0.7155,0.5658,3.8053,1.8032,0.8226,0.341,3.0554,1.5387,0.5294,0.5672,2.5755,1.5861,0.6673,0.5646,3.5298,1.3083,0.8121,0.5498,3.8904,1.2993,1,1,3,3,1.977935793,2.011669207,2.075188907,2.120705071,4.841719951,4.840834465,5.745152383,5.745369648,1.4906,0.54
-0.213426164,-0.098999306,6.40284075,0.03,1.99,-6.682214603,1.90482,14.12127602,0.887,0.5674,4.8463,0.9645,0.862,0.6589,5.0939,0.5854,0.869,0.6367,4.8981,1.5899,0.7906,0.5759,4.1928,1.0006,0.7217,0.6538,3.8036,0.9549,0.7718,0.7368,4.2483,0.5567,2,2,3,3,1.984744064,1.984744064,2.008828763,2.008828763,5.324079456,5.324079651,5.745103737,5.745102457,1.5011,0.26
-0.207465891,-0.090142499,11.50353094,158.01,817.73,-8.8149256,1.77325,14.12127888,0.8172,0.5418,4.3235,1.9022,0.8349,0.4949,4.4535,2.4806,0.5057,0.5273,2.8966,2.0622,0.7141,0.5457,3.5645,1.8755,0.7882,0.5037,4.2506,2.3872,0.6186,0.6125,3.6255,1.3904,1,1,3,3,1.959596387,1.971804503,2.118043673,2.118064683,4.841166782,4.841971879,5.745338951,5.745195974,1.4305,0.01
-0.241793879,-0.083582567,11.86465832,324.21,0.96,-7.040486991,2.68921,14.12127944,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061728644,2.062715201,2.487,4.841186131,5.324531358,5.324530579,8.104996525,1.4448,0.71
-0.18057512,-0.08170097,7.76066887,124.83,449.3,-6.935949013,1.77223,14.12128108,0.9591,0.3267,5.1931,3.9635,0.9305,0.4079,4.912,3.3375,0.9347,0.3285,4.2979,3.5076,0.9349,0.3297,5.0067,3.9419,0.8712,0.4095,4.6743,3.3269,0.8857,0.3267,3.9588,3.1726,1,1,2,2,1.970854383,1.992658024,2.167834173,2.170732826,4.840248474,4.840522348,5.325350604,5.325508222,1.4906,0.85
-0.226120447,-0.10229907,18.69684113,512.74,59.42,-8.960360167,2.08138,14.12127976,0.8505,0.5244,5.5121,2.5173,0.8498,0.6237,5.9675,0.9787,0.8065,0.2799,5.1208,4.6185,0.7551,0.6672,5.076,1.7153,0.8096,0.4876,5.0498,3.5687,0.7318,0.6032,4.3791,0.5179,2,1,2,4,1.942199526,2.014611873,2.183042602,2.375745357,5.324510316,4.840923183,5.324965529,8.105001083,1.4448,0.47
-0.215080207,-0.095046853,11.08598511,40.14,214.95,-8.232766412,1.82223,14.12128474,0.8316,0.6053,4.2029,2.0003,0.9202,0.4001,6.0021,4.5278,0.8654,0.4991,4.474,2.5274,0.6776,0.6154,3.4729,1.8871,0.8169,0.6673,4.167,1.6584,0.8819,0.4094,5.6685,4.3444,1,1,2,2,1.969709623,1.978067997,2.019729932,2.173254242,4.841236991,4.842612225,5.324662661,5.325012022,1.4448,0.04
