HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.214564,-0.099001,8.390383,11.51,113.369999,-7.045295,1.91592,14.121276,0.8702,0.5912,4.9032,0.989,0.8505,0.6395,5.1016,1.5246,0.8917,0.6266,5.379,2.0136,0.7741,0.6004,4.1703,1.009,0.7447,0.6381,4.1121,1.0386,0.7606,0.7432,4.181,0.4421,2,2,3,3,1.984819,1.988463,2.019131,2.025514,5.324083,5.324062,5.744891,5.744842,1.3441,0.115921088,0.270000011
-0.227318,-0.105531,18.222548,652.67,27.790001,-8.646164,2.03866,14.12128,0.8527,0.4984,5.0862,3.013,0.8558,0.6265,5.9814,2.0701,0.8084,0.3074,4.6749,4.0979,0.7632,0.6321,5.058,2.2331,0.815,0.4937,4.7947,3.2237,0.7712,0.5633,4.4643,1.0233,2,1,2,4,1.935925,2.016906,2.184717,2.371271,5.324548,4.84093,5.325016,8.105,1.4448,0.2714248,0.07
-0.209363,-0.09329,2.824935,22.8,61.690001,-9.024691,1.79576,14.121286,0.8258,0.6064,4.1341,0.3208,0.9003,0.6478,4.7488,1.3105,0.8891,0.3647,5.2225,4.4614,0.7308,0.6124,3.7192,0.3406,0.6593,0.725,3.4141,0.5371,0.8553,0.6937,4.5101,0.7584,1,2,1,1,1.912013,2.030063,2.047479,2.081239,4.844263,5.324505,4.841268,4.841112,1.4448,0.219767421,0.159999996
-0.207267,-0.078065,10.424665,38.94,84.329999,-8.932709,2.54046,14.121281,0.9596,0.2616,6.0562,5.4175,0.9465,0.3834,6.2787,4.4213,0.97,0.2588,6.1418,5.3171,0.7646,0.4836,4.2124,3.5297,0.7877,0.5442,4.4726,2.9553,0.9527,0.2997,6.485,4.999,1,1,2,2,1.997885,2.015254,2.168869,2.175743,4.840368,4.840503,5.324744,5.324895,1.4448,0.389183611,0.07
-0.226725,-0.104956,10.963845,119.08,174.22,-7.570761,1.79676,14.121281,0.8258,0.7733,4.251,0.7498,0.8965,0.5074,5.4038,2.1334,0.8779,0.607,5.2184,0.7244,0.7381,0.7682,3.6935,0.8309,0.745,0.6948,3.8244,1.0747,0.802,0.6181,4.436,2.4008,1,2,2,4,1.916051,2.033142,2.068741,2.51008,4.841195,5.324747,5.324604,8.104999,1.4448,0.107243665,0.07
-0.198231,-0.076969,15.920355,100.59,773.67,-8.238804,1.90364,14.12128,0.8244,0.5617,4.25,1.6406,0.8793,0.4792,4.8946,2.9359,0.5436,0.5304,3.1439,1.5706,0.7285,0.5628,3.6267,1.6304,0.7995,0.4949,4.422,2.7228,0.6824,0.6197,3.916,1.2709,1,1,3,3,1.953931,1.979813,2.114332,2.11843,4.841029,4.841689,5.7445,5.744855,1.4072,0.129050747,0.079999998
-0.21026,-0.063437,12.805024,42.5,245.53,-6.515713,2.62942,14.121285,0.8357,0.5155,4.0995,2.5043,0.9392,0.5321,5.0391,2.2944,0.8893,0.5302,4.518,2.283,0.7083,0.5219,3.4296,2.4532,0.7979,0.5261,4.1901,2.7485,0.7711,0.5464,3.8427,1.8834,1,1,1,2,1.949433,2.045835,2.052792,2.169005,4.840447,4.840457,4.841925,5.324953,1.4448,0.614143133,0.07
-0.208715,-0.083882,5.957367,6.94,7.619999,-10.629158,2.22848,14.12128,0.9489,0.5092,5.2815,3.6235,0.9736,0.3426,6.4109,5.2569,0.8051,0.682,4.1221,1.2335,0.7808,0.5579,4.2511,2.8412,0.7893,0.6075,4.1751,1.9764,0.8304,0.5264,4.8664,2.5432,1,2,2,3,1.926189,2.002417,2.096454,2.204114,4.841206,5.324326,5.324698,5.744952,1.4448,0.787980914,0.800000012
-0.219773,-0.086891,16.647187,93.66,29.91,-11.100816,2.1457,14.121279,0.8906,0.5714,5.4787,3.5019,0.9542,0.5297,6.6165,4.9283,0.8174,0.6301,4.8512,1.6495,0.7141,0.56,3.7219,4.1671,0.7451,0.5755,4.6408,2.1416,0.8093,0.5978,4.9456,2.7697,2,1,2,4,1.975276,2.005132,2.181084,2.38906,5.324472,4.840841,5.324964,8.105004,1.4448,0.609624982,0.289999992
-0.2114,-0.093982,15.241872,64.44,326.75,-6.959154,2.05808,14.12128,0.8581,0.4514,5.2332,3.8227,0.9411,0.4152,6.2504,5.1783,0.8893,0.5424,5.9762,3.3479,0.7771,0.4542,4.5133,3.9231,0.8615,0.467,5.2558,4.3332,0.7277,0.6311,4.2584,1.3233,1,2,2,4,1.956136,1.966382,2.168676,2.408163,4.840792,5.324545,5.324992,8.105007,1.4448,0.345829904,0.230000004
