Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
5.09E+00,5.03E+00,5.16E+00,5.02E+00,5.481442629
3.51E+00,4.35E+00,4.37E+00,4.32E+00,3.045322979
5.93E+00,5.10E+00,5.14E+00,5.10E+00,6.301029996
4.74E+00,4.77E+00,4.72E+00,4.67E+00,4.31202538
4.93E+00,4.79E+00,4.68E+00,4.71E+00,5
4.98E+00,5.15E+00,5.11E+00,5.01E+00,5.375663614
4.24E+00,4.42E+00,4.22E+00,4.26E+00,3.865103975
4.58E+00,4.55E+00,4.55E+00,4.56E+00,4.639486489
4.76E+00,4.84E+00,4.88E+00,4.85E+00,4.86352335
4.64E+00,4.60E+00,4.56E+00,4.51E+00,4.290564562
5.10E+00,5.23E+00,5.30E+00,5.22E+00,5.231949077
4.35E+00,4.47E+00,4.32E+00,4.34E+00,4.012589127
3.51E+00,4.51E+00,4.33E+00,4.36E+00,3.071882007
3.86E+00,4.20E+00,4.10E+00,4.07E+00,3.501230118
5.17E+00,5.10E+00,5.09E+00,5.07E+00,5.382017043
4.69E+00,4.72E+00,4.74E+00,4.72E+00,4.840106094
4.17E+00,4.24E+00,4.28E+00,4.21E+00,3.698970004
5.37E+00,5.31E+00,5.43E+00,5.33E+00,5.853871964
5.87E+00,5.33E+00,5.28E+00,5.31E+00,6.257678575
4.61E+00,4.55E+00,4.62E+00,4.53E+00,4.560667306
4.82E+00,4.97E+00,4.96E+00,4.83E+00,5.054357662
4.75E+00,4.65E+00,4.67E+00,4.67E+00,4.465382851
5.10E+00,5.03E+00,5.14E+00,5.04E+00,5.463040044
4.36E+00,4.26E+00,4.22E+00,4.16E+00,4.216316261
4.75E+00,4.85E+00,4.84E+00,4.84E+00,4.88729572
4.49E+00,4.57E+00,4.44E+00,4.45E+00,4.065501549
4.92E+00,4.91E+00,4.89E+00,4.87E+00,4.717670503
4.88E+00,4.89E+00,4.77E+00,4.77E+00,4.706717782
4.96E+00,4.94E+00,5.00E+00,4.97E+00,5.134698574
4.91E+00,4.79E+00,4.78E+00,4.81E+00,5.076388346
4.73E+00,4.76E+00,4.65E+00,4.62E+00,4.592514673
4.91E+00,4.92E+00,5.02E+00,4.90E+00,5.184691431
4.92E+00,5.03E+00,5.05E+00,5.00E+00,5.043465694
4.93E+00,4.97E+00,5.14E+00,5.02E+00,5.285557309
4.38E+00,4.47E+00,4.39E+00,4.43E+00,4.31386722
4.59E+00,4.66E+00,4.69E+00,4.62E+00,4.745074792
4.90E+00,5.10E+00,5.10E+00,5.05E+00,5.255272505
5.06E+00,4.94E+00,4.97E+00,4.97E+00,5.072550667
5.09E+00,4.98E+00,5.05E+00,4.96E+00,5.431798276
4.66E+00,4.61E+00,4.54E+00,4.55E+00,4.23299611
4.71E+00,4.65E+00,4.59E+00,4.55E+00,4.428134794
4.60E+00,4.62E+00,4.54E+00,4.57E+00,4.647817482
4.89E+00,4.93E+00,4.92E+00,4.85E+00,4.959163746
4.71E+00,4.89E+00,4.75E+00,4.80E+00,4.263241435
4.91E+00,4.93E+00,4.89E+00,4.90E+00,4.745855195
4.47E+00,4.40E+00,4.32E+00,4.35E+00,4.037426498
4.19E+00,4.56E+00,4.35E+00,4.46E+00,3.698970004
4.42E+00,4.34E+00,4.34E+00,4.31E+00,4.081670047
4.76E+00,4.73E+00,4.75E+00,4.70E+00,4.551523927
