HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,refractive index,Exp. Kr
-0.207990269,-0.090797928,28.06062948,0.755874856,1.253822439,-5.47,2.47945,6.132792752,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238424,2.02512691,2.03091925,2.051585728,2.312488362,2.312485676,2.312428527,2.312379409,3.346872283,1.4448,5.481442629
-0.227261653,-0.084086127,7.0755972,1.414304688,2.335538132,-3.757210191,2.32437,6.132794073,0.7677,0.6923,3.5855,0.884,0.807,0.2969,3.4783,2.4349,0.986,0.0885,5.1376,4.7267,0.6835,0.6972,3.3282,0.8793,0.7358,0.6978,3.5287,1.1075,0.7565,0.2971,3.3638,2.41,1,2,2,4,1.975492344,2.034609791,2.07951653,2.500459558,2.102427188,2.312503949,2.312500883,3.519957024,4.82413758,1.4448,3.045322979
-0.221326394,-0.07551307,3.71047599,1.845841907,2.484314078,-4.18,2.40307,6.132792976,0.7714,0.665,3.595,1.0567,0.8204,0.2808,3.4699,2.4613,0.8851,0.549,4.6071,2.7653,0.6864,0.6676,3.384,1.0646,0.7972,0.5586,3.9514,2.6454,0.5363,0.5517,2.6119,1.4932,1,2,3,3,1.972103446,2.00202023,2.051478004,2.137655258,2.102496581,2.312530596,2.495177183,2.495192014,4.396010609,1.406,6.301029996
-0.187216047,-0.085460467,3.40377515,0.811575006,1.868938178,-3.697885623,2.05132,6.132794425,0.9577,0.3067,7.4558,6.646,0.9733,0.2873,7.8488,6.7605,0.89,0.2161,4.6893,3.684,0.9096,0.319,6.8634,6.4298,0.9565,0.3001,7.6755,6.539,0.6782,0.6318,3.8866,1.8451,1,1,2,2,1.96226196,2.029072941,2.060416463,2.088384064,2.102570422,2.103195214,2.312539985,2.312521714,4.701846088,1.4448,4.31202538
-0.224581771,-0.122248371,11.85678825,2.911530462,2.92681559,-4.51,0.46579,6.132784474,0.6025,0.6686,2.5466,0.1807,0.51,0.6098,2.1909,0.3318,0.5902,0.5698,2.3884,0.9007,0.5368,0.6645,2.2923,0.1664,0.4699,0.579,2.0335,0.9314,0.491,0.606,2.1496,0.3334,1,4,2,2,2.05797619,2.42963454,2.538896217,2.542935508,2.102287647,3.519962001,2.312993875,2.312974524,2.520223185,1.4448,5
-0.203538398,-0.090604057,11.6870172,1.824516328,2.358810172,-3.05487623,2.28372,6.132795284,0.9726,0.3028,6.4221,5.2302,0.9563,0.3563,6.1922,4.7207,0.9548,0.3972,6.6879,5.333,0.9387,0.3138,6.0895,5.126,0.8872,0.3839,5.6862,4.392,0.7991,0.4605,5.0899,3.8242,1,1,2,2,1.97044056,1.982433605,2.14836077,2.153747664,2.102075591,2.102171918,2.312653655,2.312734238,5.532164694,1.4448,5.375663614
-0.208480675,-0.096801022,15.73827553,1.562649672,2.363028769,-4.13,1.66142,6.132793345,0.8066,0.6605,4.7996,2.2205,0.9356,0.4547,6.1137,4.7584,0.8985,0.5575,6.091,3.6993,0.6968,0.6478,3.9552,2.4127,0.8594,0.4903,5.2158,4.4388,0.7113,0.6093,4.2605,0.3111,2,1,2,4,1.979340547,1.981893539,2.163956793,2.395543362,2.312377272,2.102476241,2.31258105,3.519962806,4.31052357,1.4448,3.865103975
-0.209032679,-0.087001257,1.20156092,1.98971672,2.119321886,-3.509760515,1.86197,6.132793914,0.8551,0.7065,4.2763,0.1787,0.8594,0.6736,4.3711,1.5327,0.9058,0.6647,4.745,1.8282,0.7006,0.7068,3.5165,0.2455,0.702,0.6923,3.5462,0.4063,0.7705,0.6601,3.8982,0.8409,1,2,2,1,2.050409959,2.058645428,2.079550432,2.09043273,2.102571039,2.312480664,2.312469243,2.102495141,5.000342266,1.4072,4.639486489
-0.23489738,-0.104166226,20.31924521,2.417587932,1.728191399,-3.648010545,2.18833,6.132793495,0.8852,0.5443,5.2715,3.4168,0.8672,0.6635,4.8102,1.6304,0.8919,0.5717,5.295,2.236,0.7182,0.6038,4.0385,2.3346,0.8294,0.6018,4.8102,2.4609,0.7747,0.6226,4.2918,1.5285,2,1,2,4,1.967807409,2.004895259,2.178445547,2.379865122,2.312386982,2.102361695,2.312602596,3.519959671,4.714362959,1.4448,4.86352335
-0.215659456,-0.077061477,8.94837842,1.656098202,1.888067113,-4.65,2.30195,6.132795559,0.8151,0.6388,4.0928,1.1553,0.9567,0.2428,6.6026,5.8291,0.9356,0.3242,4.0624,2.7164,0.7087,0.6582,3.7684,1.0435,0.751,0.6462,3.9515,1.7946,0.8134,0.4549,3.92,1.9487,1,2,1,1,1.922102495,2.0394563,2.040499204,2.111741225,2.103903529,2.312503949,2.10248756,2.102348931,3.842913149,1.406,4.290564562
-0.215915618,-0.084994949,2.12837307,0.86569606,1.402089351,-3.37923951,2.46993,6.132794614,0.8893,0.505,5.4067,3.1857,0.9459,0.2845,6.068,4.6731,0.8488,0.2717,4.461,2.6498,0.784,0.5272,4.8243,2.8855,0.8757,0.3257,5.3307,4.1862,0.6335,0.7355,3.3337,0.5443,1,1,2,2,1.952296084,2.005000998,2.078492001,2.078492001,2.102576183,2.103303207,2.312520318,2.312519451,5.178798957,1.4448,5.231949077
