Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
4.964508906,5.201956623,5.03799875,5.123044491,5.071355909
4.843278842,5.069625029,4.966667089,4.855513096,4.711934982
4.842055956,4.812707534,4.765412341,4.746754169,4.209750628
4.875773393,5.101903446,4.955709566,5.028661728,4.729846571
4.790365625,4.803739575,4.839015711,4.742458344,5.065266731
4.957372268,5.134763282,5.08808642,5.143018246,5.375663614
4.954758369,5.094034373,5.100662825,5.117702484,5.363177902
4.904413011,4.987385068,4.955308041,5.02591753,4.83069473
4.907827851,5.042480359,5.001262769,4.987465858,5.009545318
4.919061824,5.163816497,5.107129804,4.915453911,5.426511261
4.979290075,5.243552125,5.11739257,5.031809807,5.484299839
4.988573044,5.195998315,5.14746322,5.124485016,5.480006943
4.977124404,5.150624139,5.128775028,5.081906319,5.51054501
4.910995502,5.238504094,4.979646994,5.085753441,4.879669206
4.967438152,5.347126754,5.077089877,5.230748653,5.152288344
4.908291851,5.16055275,5.011954458,4.947829247,5.274157849
4.733681758,4.79450517,4.841100867,4.753779411,4.463892989
4.307629665,4.047681479,4.284924233,4.157351494,4.416640507
4.849492992,5.009436889,4.90158582,4.890684605,4.397940009
4.830193003,4.721188138,4.872519451,4.836471558,4.895422546
5.057781473,5.279239037,5.087788204,5.112425804,5.195899652
5.033879947,5.241998201,5.012600764,5.01740551,5.11058971
5.071975098,5.152439514,5.221343133,5.234395027,5.311753861
5.048900373,5.335972485,5.153307306,5.111485958,5.222716471
