HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,refractive index,Exp. Kr
-0.227261653,-0.084086127,7.0755972,25.96,216.5399998,-8.651296177,2.32437,14.12128021,0.7677,0.6923,3.5855,0.884,0.807,0.2969,3.4783,2.4349,0.986,0.0885,5.1376,4.7267,0.6835,0.6972,3.3282,0.8793,0.7358,0.6978,3.5287,1.1075,0.7565,0.2971,3.3638,2.41,1,2,2,4,1.975492344,2.034609791,2.07951653,2.500459558,4.841017502,5.32473712,5.324730061,8.105000571,4.82413758,1.4448,3.045322979
-0.206302415,-0.07969944,9.25411474,147.21,2008.200001,-10.20045196,1.83581,14.12127964,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,4.839984171,4.840089807,5.325093077,4.840509149,3.810073537,1.4448,5.076388346
-0.221326394,-0.07551307,3.71047599,70.11999993,305.0099997,-9.624805689,2.40307,14.12127768,0.7714,0.665,3.595,1.0567,0.8204,0.2808,3.4699,2.4613,0.8851,0.549,4.6071,2.7653,0.6864,0.6676,3.384,1.0646,0.7972,0.5586,3.9514,2.6454,0.5363,0.5517,2.6119,1.4932,1,2,3,3,1.972103446,2.00202023,2.051478004,2.137655258,4.841177285,5.324798477,5.745357786,5.745391936,4.396010609,1.406,6.301029996
-0.235616956,-0.105836881,16.39923495,797.029999,119.2900001,-8.099470186,2.10281,14.12128045,0.8427,0.6038,4.6375,2.2363,0.8302,0.6363,4.6262,1.9304,0.8817,0.5517,4.8647,2.6047,0.7394,0.6114,4.1897,2.1397,0.8001,0.6295,4.4016,2.0319,0.7523,0.5782,3.898,2.1381,2,1,2,4,1.921590227,2.018833822,2.195051252,2.366087488,5.324636023,4.840925553,5.325029694,8.105000995,4.948359369,1.4448,4.937852093
-0.198932893,-0.058624686,16.81433509,17.69,722.4100002,-7.300797867,2.47327,14.12127918,0.8071,0.551,4.3037,1.5783,0.8756,0.5575,4.4317,1.5948,0.8549,0.6157,5.1547,1.2222,0.7394,0.5579,3.877,1.5176,0.7694,0.5902,3.5798,1.3974,0.6979,0.6181,4.1831,1.1295,1,1,3,3,1.967806139,1.967806139,2.125531698,2.125531698,4.841194345,4.841194739,5.744868051,5.744868081,5.355046806,1.412,4.589825535
-0.221703564,-0.100455359,18.6856941,3.600000002,9.760000006,-8.151855875,2.24375,14.12128616,0.8953,0.5069,6.3092,4.3712,0.8626,0.4758,5.0265,3.0509,0.8698,0.2505,5.27,3.9977,0.8062,0.5188,5.5714,3.8407,0.7844,0.5157,4.5442,2.5447,0.7466,0.5645,4.4321,2.1239,1,2,1,2,1.925454232,1.97796006,2.025607069,2.176206332,4.842994486,5.324677564,4.840881076,5.324948977,4.987633881,1.4448,5.255272505
-0.214832467,-0.079338609,7.64147035,243.4799998,101.79,-8.526738603,2.02463,14.12128002,0.7659,0.659,3.8518,0.5266,0.8451,0.5808,4.3403,2.3227,0.7022,0.5968,3.2589,1.0492,0.6132,0.6603,3.0255,0.5072,0.6549,0.605,3.316,1.9727,0.7109,0.6325,3.2257,1.1113,2,2,2,2,1.944343077,1.995296469,2.064362613,2.064787156,5.32426139,5.324199271,5.324483332,5.324464628,4.868321569,1.3441,4.36361198
-0.224581771,-0.122248371,11.85678825,815.6999997,844.9199989,-10.38465877,0.46579,14.12125811,0.6025,0.6686,2.5466,0.1807,0.51,0.6098,2.1909,0.3318,0.5902,0.5698,2.3884,0.9007,0.5368,0.6645,2.2923,0.1664,0.4699,0.579,2.0335,0.9314,0.491,0.606,2.1496,0.3334,1,4,2,2,2.05797619,2.42963454,2.538896217,2.542935508,4.840696197,8.105012031,5.325865217,5.325820659,2.520223185,1.4448,5
-0.204344547,-0.092466998,9.51301,54.08000001,463.64,-6.426564461,2.13139,14.12128183,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336095,1.992324522,2.171083831,2.171572241,4.840183018,4.84043146,5.325175632,5.325316974,5.692046959,1.4448,5.469003364
-0.227644334,-0.115388278,16.54478997,158.97,282.2399998,-7.198642482,1.75855,14.12127859,0.8793,0.5803,4.6794,2.6634,0.8748,0.4888,4.1812,2.3164,0.8937,0.4839,4.6336,2.0408,0.8109,0.5788,4.2241,2.5811,0.8184,0.4873,4.2864,2.028,0.8026,0.5082,4.16,2.1886,2,1,2,4,1.989380808,2.002195295,2.132965307,2.387050691,5.324515137,4.840966631,5.32508957,8.105016293,5.041282225,1.4448,3.698970004
-0.211399724,-0.093982046,15.24187177,64.44000004,326.7499998,-6.959153841,2.05808,14.12127991,0.8581,0.4514,5.2332,3.8227,0.9411,0.4152,6.2504,5.1783,0.8893,0.5424,5.9762,3.3479,0.7771,0.4542,4.5133,3.9231,0.8615,0.467,5.2558,4.3332,0.7277,0.6311,4.2584,1.3233,1,2,2,4,1.956136243,1.966381703,2.168675863,2.408163408,4.840792275,5.324545239,5.324991722,8.105007023,5.327512951,1.4448,4.843213896
-0.205199212,-0.054960206,4.21601581,453.3100004,610.6099991,-5.966967076,2.54667,14.12128098,0.9189,0.3547,4.4526,3.7253,0.9029,0.2603,3.0738,2.3491,0.7497,0.5111,4.0342,1.7649,0.5708,0.4591,2.7275,2.9386,0.86,0.3999,4.2333,3.2719,0.6846,0.5137,3.5509,2.7042,1,1,3,3,1.978185279,2.008435461,2.078629597,2.120275925,4.84169706,4.840839678,5.745286509,5.745387618,5.872647153,1.4906,4.698970004
-0.241793879,-0.083582567,11.86465832,324.21,0.96,-7.040486991,2.68921,14.12127944,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061728644,2.062715201,2.487,4.841186132,5.324531357,5.324530579,8.104996526,5.468408893,1.4448,4.959163746
-0.206335032,-0.093927345,7.54907374,25.28000002,112.47,-7.479393042,1.83262,14.12127552,0.8799,0.5999,5.0247,1.1691,0.8711,0.627,5.3127,1.7561,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.2015,1.1864,0.7549,0.6269,4.2048,1.2135,0.764,0.739,4.2861,0.5937,2,2,3,3,1.976211021,1.987684834,2.026845332,2.034475854,5.324042373,5.324036964,5.744381884,5.744742123,4.917073806,1.4448,4.037426498
-0.20941224,-0.081400266,4.04347196,12.53999998,2.489999999,-10.24650366,2.28075,14.12128031,0.9367,0.5306,5.1208,3.3514,0.9787,0.3259,6.5025,5.3774,0.7716,0.6891,4.0764,1.0429,0.7738,0.5744,4.1671,2.6339,0.7667,0.601,4.1883,1.9119,0.8739,0.4825,5.3978,3.2573,1,2,2,3,1.92645737,1.998720591,2.093994747,2.191680177,4.841149406,5.324319171,5.32470391,5.744931617,3.909960202,1.4448,4.627087997
-0.195438739,-0.047440124,4.80592797,78.11000003,4.19,-11.53595132,2.32233,14.12128075,0.8688,0.6535,5.2574,1.8907,0.9346,0.3755,5.8441,4.2803,0.8602,0.6262,4.863,2.327,0.6592,0.6473,3.154,2.0145,0.6037,0.5884,3.4182,1.0412,0.7705,0.582,4.6342,2.2117,1,1,3,3,1.967842727,1.99804029,2.092005975,2.144312011,4.841714267,4.840765807,5.744964755,5.744812384,3.374381966,1.4906,3.500976904
-0.184671948,-0.071083087,9.19418574,330.8099999,260.9299997,-7.329197341,2.12432,14.12128417,0.9684,0.3328,5.3402,4.4525,0.9668,0.2978,4.8725,3.6339,0.9663,0.3115,4.2206,3.8102,0.9355,0.3348,5.1716,4.4586,0.938,0.3016,4.554,3.5875,0.9314,0.3204,3.8908,3.4173,1,1,1,2,1.967344911,2.034728729,2.077041646,2.1020245,4.840516895,4.840481094,4.841985767,5.325390265,5.17786281,1.4906,5.365487985
-0.226120447,-0.10229907,18.69684113,512.74,59.41999994,-8.960360166,2.08138,14.12127976,0.8505,0.5244,5.5121,2.5173,0.8498,0.6237,5.9675,0.9787,0.8065,0.2799,5.1208,4.6185,0.7551,0.6672,5.076,1.7153,0.8096,0.4876,5.0498,3.5687,0.7318,0.6032,4.3791,0.5179,2,1,2,4,1.942199526,2.014611873,2.183042602,2.375745357,5.324510316,4.840923184,5.32496553,8.105001083,4.666152833,1.4448,4.551523927
-0.22361292,-0.076725772,9.40255289,139.2099998,195.67,-6.932047971,2.60339,14.12127969,0.8531,0.5769,4.833,1.4555,0.8346,0.6377,4.2511,0.7927,0.8503,0.5941,4.9394,1.607,0.6969,0.6037,3.5712,1.2337,0.7615,0.6103,4.0947,1.0176,0.7381,0.6023,3.9873,1.3241,1,2,2,4,1.922114981,2.045819151,2.078339963,2.496016426,4.84116394,5.324471741,5.32439497,8.104994529,5.503480926,1.4448,5.10720997
-0.189041081,-0.072614679,5.49979891,76.82999993,278.5699999,-8.198012451,2.14988,14.12128214,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.976630213,1.982397538,2.098048855,2.194202133,4.840252268,4.840554828,5.326615666,5.324892743,4.927037693,1.406,5.853871964
-0.187137926,-0.071722587,7.32099543,404.8299996,327.9600001,-7.440315396,2.16608,14.12128278,0.966,0.3238,5.2977,4.4298,0.9589,0.3376,4.8796,3.8351,0.9561,0.3135,4.009,3.4412,0.9297,0.3254,5.1419,4.4053,0.9336,0.3409,4.6419,3.8097,0.9273,0.3196,3.8744,3.2423,1,1,2,2,1.958050306,1.996103705,2.095923901,2.151682597,4.840509704,4.840396606,5.325383454,5.325431873,5.186351598,1.4906,5.045322979
-0.218127302,-0.056633495,5.3753601,232.1100002,577.2999994,-7.410116824,2.59957,14.12128072,0.8245,0.553,4.0609,1.7717,0.7155,0.5658,3.8053,1.8032,0.8226,0.341,3.0554,1.5387,0.5294,0.5672,2.5755,1.5861,0.6673,0.5646,3.5298,1.3083,0.8121,0.5498,3.8904,1.2993,1,1,3,3,1.977935793,2.011669207,2.075188907,2.120705071,4.841719952,4.840834465,5.745152384,5.745369649,5.382134725,1.4906,4.840106094
-0.191484528,-0.075303534,9.5697321,33.59999997,242.19,-7.976032368,1.96107,14.12127596,0.866,0.512,5.6706,2.9733,0.8944,0.3839,6.4225,4.4384,0.9373,0.382,7.5562,2.2467,0.7556,0.5171,4.404,2.8783,0.7288,0.4792,3.8404,5.0882,0.7764,0.4699,5.1603,1.1722,2,2,3,3,1.97102968,1.976836614,2.042601772,2.04522346,5.324453474,5.324428436,5.744259642,5.744924962,4.778951618,1.4448,4.428134794
-0.192785228,-0.057872679,1.69769302,127.1000001,106.52,-8.294049639,2.30144,14.12128302,0.8226,0.6125,4.0038,0.993,0.8944,0.5668,4.3664,1.2063,0.7947,0.3078,3.4461,1.1591,0.7482,0.6122,3.6256,0.9519,0.74,0.5971,3.4498,0.6077,0.7184,0.6851,3.6948,0.6588,1,1,2,2,1.95376278,1.978912328,2.108718094,2.139895558,4.840803811,4.840750953,5.325103006,5.325094099,5.024274318,1.406,5.463040044
-0.207465891,-0.090142499,11.50353094,158.01,817.7300002,-8.814925599,1.77325,14.12127888,0.8172,0.5418,4.3235,1.9022,0.8349,0.4949,4.4535,2.4806,0.5057,0.5273,2.8966,2.0622,0.7141,0.5457,3.5645,1.8755,0.7882,0.5037,4.2506,2.3872,0.6186,0.6125,3.6255,1.3904,1,1,3,3,1.959596387,1.971804503,2.118043673,2.118064683,4.841166781,4.841971878,5.745338951,5.745195974,4.623487698,1.4305,4.795880017
-0.204341723,-0.083252709,6.76872847,7.370000006,291.3599997,-6.587122105,2.24131,14.12127993,0.9286,0.4517,5.1943,2.8639,0.8585,0.5212,4.6463,2.5673,0.9506,0.5153,5.4771,2.405,0.8725,0.4558,4.8028,2.7607,0.7708,0.5513,4.1168,2.161,0.7562,0.5635,4.0648,1.6096,1,2,2,3,1.945124418,2.009899002,2.067091435,2.077107123,4.840603587,5.324528923,5.324301633,5.744050684,5.59244814,1.4448,5.320146286
-0.213996934,-0.104757291,14.75785379,52.94999994,55.92000006,-8.488119943,1.98368,14.12128611,0.9098,0.4681,6.3509,4.8644,0.8622,0.4796,4.7388,2.7923,0.9533,0.3577,6.6958,5.4134,0.8523,0.4767,5.8972,4.6069,0.8193,0.4857,4.4792,2.7297,0.7023,0.5779,4.2711,1.7631,1,2,1,2,1.923189538,1.989344113,2.027656036,2.176341885,4.8427343,5.324723535,4.840890399,5.325054133,4.844809728,1.4448,4.942008053
-0.172957902,-0.067854215,2.85699596,0.38,21.15999998,-8.361900308,1.78561,14.12128432,0.9111,0.5316,4.776,2.4751,0.9212,0.5362,4.8554,2.2989,0.8961,0.4737,3.9384,1.391,0.8749,0.5288,4.6194,2.4988,0.8609,0.5321,4.455,2.3002,0.7579,0.626,4.1079,1.7585,1,1,2,2,1.964379037,1.964379037,2.143432061,2.143432061,4.840647207,4.840647445,5.325165606,5.325167504,4.692058475,1.406,4.264817823
-0.227318252,-0.105530565,18.22254779,652.6700002,27.79000001,-8.646163572,2.03866,14.12128001,0.8527,0.4984,5.0862,3.013,0.8558,0.6265,5.9814,2.0701,0.8084,0.3074,4.6749,4.0979,0.7632,0.6321,5.058,2.2331,0.815,0.4937,4.7947,3.2237,0.7712,0.5633,4.4643,1.0233,2,1,2,4,1.935924844,2.016905798,2.184717373,2.371270967,5.324548454,4.84092982,5.325015577,8.10500044,4.709377416,1.4448,4.84509804
-0.208489732,-0.096803429,15.7373286,36.72000005,230.9500003,-9.486650583,1.66192,14.12127853,0.8068,0.6601,4.8006,2.2242,0.9352,0.4569,6.1086,4.748,0.8985,0.5569,6.0922,3.7021,0.6968,0.6471,3.955,2.4181,0.8594,0.4922,5.2153,4.4271,0.7112,0.61,4.2595,0.3118,2,1,2,4,1.979340547,1.981893539,2.163956793,2.395570287,5.324445242,4.841131319,5.324915138,8.105013892,4.312157172,1.4448,3.865301426
-0.218264696,-0.072015822,14.71033163,48.61,174.3199999,-8.180363875,2.36141,14.12127849,0.7642,0.7608,3.5859,0.9849,0.8205,0.6262,3.9364,0.7243,0.7994,0.2586,3.3472,2.3534,0.6867,0.7647,3.3282,0.978,0.7716,0.6543,3.8149,1.9774,0.7168,0.6252,3.5875,1.6208,1,2,2,4,1.944000257,2.034958722,2.068901641,2.493009827,4.841104388,5.324663295,5.324558341,8.104986519,4.895240347,1.4448,4.706717782
-0.209063996,-0.079578246,14.26000332,115.6300001,493.0199994,-7.022829486,2.62649,14.12128133,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987210608,2.002616538,2.155835569,2.191700253,4.84021638,4.840255747,5.32535367,5.32487088,5.644048439,1.406,5.244414578
-0.195904967,-0.098051642,13.42428455,7.850000002,342.2599999,-7.944802211,1.68906,14.12127511,0.9317,0.421,5.2926,3.1553,0.9522,0.4122,5.6493,3.2234,0.8858,0.549,5.1611,2.1992,0.8967,0.4244,5.0422,3.1272,0.9057,0.4182,5.2484,3.1832,0.7029,0.581,3.8037,2.0515,2,2,3,3,1.995667808,1.996406021,2.009180181,2.009547461,5.324451234,5.324428436,5.745047059,5.745033529,4.87974334,1.4969,5.11058971
-0.224888043,-0.089938602,7.78369081,122.54,35.78,-9.099693852,2.1585,14.12127875,0.9211,0.6633,5.1389,1.9691,0.8852,0.5481,5.2376,3.206,0.8708,0.6516,5.2034,1.8415,0.7134,0.6612,3.5798,2.3311,0.7205,0.7087,3.9742,0.6655,0.7507,0.5833,4.2278,2.562,1,2,2,4,1.922480949,2.077654928,2.078617329,2.491321135,4.841152961,5.324677905,5.324694267,8.104991511,4.381315288,1.4448,3.698970004
-0.207623141,-0.084486422,7.21915792,7.610000001,148.3700002,-7.141707029,2.34434,14.12128039,0.9425,0.4509,5.3469,3.4837,0.9533,0.3457,6.0571,4.9651,0.8257,0.5471,4.5108,1.4783,0.8703,0.4557,4.8384,3.377,0.7985,0.4694,4.6999,2.6223,0.7862,0.5397,4.3314,0.9166,1,2,2,3,1.921485363,2.014350764,2.092038958,2.138318031,4.841193871,5.324518695,5.324727772,5.744907527,5.364474829,1.4448,5.190331698
-0.209744821,-0.093109932,5.34621005,5.169999997,115.79,-7.006140181,1.92481,14.12127595,0.8748,0.6109,5.0049,0.7899,0.8481,0.6641,5.2271,1.4706,0.888,0.6423,5.3252,1.907,0.7639,0.6212,4.1912,0.801,0.745,0.6578,4.198,0.9036,0.7871,0.6988,4.366,0.8777,2,2,3,3,1.98287342,1.985693833,2.016045882,2.027447163,5.324041008,5.323994762,5.745066316,5.745035097,5.163858536,1.4448,4.501059262
-0.226724675,-0.104955856,10.96384484,119.08,174.2199998,-7.570761304,1.79676,14.12128076,0.8258,0.7733,4.251,0.7498,0.8965,0.5074,5.4038,2.1334,0.8779,0.607,5.2184,0.7244,0.7381,0.7682,3.6935,0.8309,0.745,0.6948,3.8244,1.0747,0.802,0.6181,4.436,2.4008,1,2,2,4,1.916051148,2.033141904,2.068741163,2.51007968,4.841195372,5.32474686,5.324603879,8.10499863,4.879952857,1.4448,4.313264452
-0.191445879,-0.093308673,6.15291827,90.60999989,300.4300001,-7.853217388,1.5797,14.12128287,0.9238,0.4407,5.6942,4.6732,0.9415,0.4397,6.2252,4.7573,0.8904,0.3333,4.6403,3.3588,0.8056,0.5374,4.4166,3.5621,0.8414,0.5533,5.0785,3.5175,0.8799,0.5224,5.4595,4.0354,1,1,2,2,1.973726931,1.999222599,2.106271113,2.192763097,4.840762251,4.840325624,5.325058465,5.324961975,4.736801848,1.406,5.460730839
-0.221574325,-0.094850938,16.91273063,112.7,42.45000005,-11.69713227,2.12894,14.12127868,0.9113,0.4667,5.7358,4.2611,0.921,0.6172,5.4904,2.9043,0.8348,0.6017,4.7605,2.3332,0.7247,0.5731,3.8364,3.4109,0.8783,0.5112,5.7017,3.8776,0.7789,0.5961,4.3542,2.0524,2,1,2,4,1.973627371,2.00572705,2.188366971,2.386170572,5.32448338,4.840837861,5.325011828,8.10500523,3.345029482,1.4448,5.15490196
-0.2006094,-0.079182753,10.86631982,94.9900001,50.99999996,-6.49763436,2.50346,14.12128492,0.9701,0.3037,6.5087,5.4157,0.9296,0.4049,5.4957,3.863,0.9109,0.5116,5.2554,2.3734,0.9018,0.3389,5.8803,5.0209,0.8686,0.418,5.0174,3.748,0.7474,0.5876,4.0757,1.9561,1,1,1,2,1.991188088,2.038973761,2.060042233,2.084146348,4.840334636,4.840345702,4.84205947,5.324792585,5.68744068,1.4448,4.155336037
-0.237533825,-0.093054393,6.72969178,42.78999994,194.9999999,-8.085735503,2.38872,14.12127968,0.7904,0.7109,3.8693,0.6206,0.8346,0.6079,4.2746,1.2683,0.7347,0.2964,3.3896,2.058,0.6861,0.7124,3.4687,0.6692,0.7305,0.6481,3.9382,0.4199,0.7593,0.6505,3.7986,0.6221,1,2,2,4,1.910602261,2.054125848,2.09651735,2.491473861,4.841369736,5.324758498,5.324708829,8.104995446,5.060105628,1.4448,4.986427193
-0.208591231,-0.060984669,5.48075003,107.12,244.1799997,-9.855064198,2.46955,14.12128141,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971335842,1.973867523,2.102321098,2.145605975,4.841412138,4.840882419,5.745313146,5.74530061,4.324838969,1.4906,4.592514673
-0.202349457,-0.061460305,10.73888164,20.85999999,101.74,-7.365040136,2.64212,14.12128248,0.9474,0.5381,5.3229,2.8452,0.8865,0.5883,4.8369,1.8507,0.8839,0.6806,5.1662,1.6245,0.7406,0.5954,4.2331,2.148,0.8258,0.5976,4.3725,1.9421,0.8601,0.5968,4.8916,1.9344,1,1,2,2,1.975726702,1.986762442,2.158305354,2.173625773,4.840266102,4.840404508,5.325270008,5.324812012,5.448829561,1.4448,5.369745808
-0.207990269,-0.090797928,28.06062948,5.700000007,17.94000001,-12.59514046,2.47945,14.12127717,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238424,2.02512691,2.03091925,2.051585728,5.32470123,5.324695045,5.324563455,5.324450357,3.346872283,1.4448,5.481442629
-0.220911013,-0.094455305,16.54416348,119.08,40.52000003,-11.76620983,2.12161,14.12127888,0.9079,0.5293,5.8348,3.8666,0.9498,0.5312,6.4755,4.6344,0.8251,0.6283,5.0297,2.0961,0.7285,0.5342,3.9502,4.1928,0.7522,0.6204,4.3266,1.8125,0.8594,0.5441,5.796,3.6979,2,1,2,4,1.971036529,2.005501683,2.180313051,2.387242133,5.324479777,4.84085074,5.324949511,8.105004481,3.470854434,1.4448,4.803705355
-0.220757237,-0.089461868,15.56262923,114.4600001,35.73,-11.92739078,2.12731,14.1212789,0.8823,0.6421,5.1643,2.5812,0.9608,0.3998,6.7558,5.7137,0.8042,0.6414,4.7002,1.2527,0.7213,0.6295,3.7959,2.9088,0.7518,0.6063,4.3811,1.883,0.7839,0.571,4.7448,2.3481,2,1,2,4,1.975851462,2.003785667,2.177917583,2.386653096,5.324509441,4.840860772,5.324939287,8.105004564,3.397398522,1.4448,4.560667306
-0.187291033,-0.053380132,7.00901717,203.1200001,105.87,-8.396303874,2.45064,14.12128301,0.92,0.371,5.11,3.8349,0.8815,0.6237,4.9145,1.5454,0.9252,0.3966,5.1888,3.6407,0.7217,0.6132,3.5097,1.6589,0.895,0.4003,5.1319,3.5223,0.7536,0.5555,4.1065,2.148,1,1,2,2,1.943488101,1.989586892,2.128606352,2.137708352,4.840860457,4.840716819,5.325742438,5.325517321,5.046163137,1.406,5.045322979
-0.192382819,-0.076452119,4.61209606,109.02,239.4799997,-8.425069902,2.03779,14.12128165,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981591532,1.988591461,2.157694371,2.184997025,4.840220886,4.840788957,5.325823968,5.324791563,4.710965835,1.406,5.265032342
-0.202469635,-0.07922523,16.39340408,91.45000001,752.8900002,-7.916435461,1.9609,14.12128033,0.8228,0.5699,4.1615,1.6055,0.8768,0.4867,4.838,3.0217,0.6291,0.4928,3.6948,0.9218,0.7377,0.5712,3.5948,1.5868,0.7818,0.5082,4.2636,2.7447,0.6913,0.5983,3.7635,0.6046,1,1,3,3,1.953637889,1.979084637,2.113562396,2.118938177,4.841044042,4.841641646,5.745017696,5.744846649,5.071848495,1.412,4.710963119
-0.174750335,-0.048233313,1.9837948,0.08,0.02,-7.391127877,2.30872,14.12128355,0.8938,0.5484,4.474,2.1146,0.9181,0.5648,4.5828,1.5256,0.9086,0.2321,4.8992,4.1746,0.851,0.5474,4.3291,2.1305,0.8346,0.5662,4.2833,1.5104,0.7354,0.6624,3.6769,1.0248,1,1,2,2,1.959176358,1.959176358,2.103622827,2.103622827,4.840417154,4.840417154,5.325612054,5.325612006,5.244970052,1.406,5.057991947
-0.23489738,-0.104166226,20.31924521,261.5699997,53.48000004,-8.3998547,2.18833,14.12127888,0.8852,0.5443,5.2715,3.4168,0.8672,0.6635,4.8102,1.6304,0.8919,0.5717,5.295,2.236,0.7182,0.6038,4.0385,2.3346,0.8294,0.6018,4.8102,2.4609,0.7747,0.6226,4.2918,1.5285,2,1,2,4,1.967807409,2.004895259,2.178445547,2.379865122,5.324467794,4.840866699,5.324964264,8.105006666,4.714362959,1.4448,4.86352335
