ADA,LGBM,RF,XGB,Exp. Kr
4.543811321,4.592169762,4.578264713,4.655938148,4.698969841
4.9703722,5.00562191,4.848060131,4.840314865,3.698970079
4.547053814,4.910023212,4.733952045,4.6932621,4.851937294
4.944029331,5.037698269,4.995912552,4.826258183,4.901458263
5.013692856,5.16109848,4.951932907,4.928702831,5.072550774
4.802510738,5.025761604,4.676562309,4.74330616,4.290564537
5.082308292,5.300410748,5.011258602,5.105878353,5.244414806
4.958751678,4.972389698,4.944168091,4.95809269,3.07188201
4.737025738,4.800308704,4.857583046,4.899048805,4.845098019
4.762506485,4.922348499,4.77723074,4.740488052,4.861697197
4.67257452,4.707578182,4.744329929,4.729930878,4.428134918
4.822410107,4.971004963,4.918123722,4.948821068,4.975176334
5.188822746,5.278695107,5.069983959,5.292088985,4.982723236
4.496308327,4.511859894,4.467320919,4.32817173,4.093530178
4.356687069,4.286160946,4.484772205,4.426875114,4.356547356
4.999036312,4.954844952,4.857553482,4.866866589,5.013788223
5.199565887,5.394044399,5.310637951,5.3066535,5.045322895
5.246619225,5.103788853,4.949692726,4.945566654,5.382017136
4.822450638,5.112041473,5.099657059,4.984620094,4.155335903
4.704171181,4.83902216,4.898828983,4.877017975,4.937851906
4.795360565,4.710012436,4.848109245,4.923290253,5.056904793
4.875584126,4.883395672,4.927995205,4.92044735,4.7727561
4.73282671,4.718573093,4.64919281,4.693105698,4.778151035
4.782743454,4.820703506,4.885220528,4.842790604,4.885599136
4.926530361,5.013319016,5.086494446,5.049481392,4.637224197
4.836260796,4.689561844,4.781848907,4.366909981,5.082186699
4.789308548,4.62995863,4.738713741,4.30525589,4.920818806
4.471316814,4.616340637,4.463654995,4.14325285,4.560667515
5.024044991,5.208635807,5.202646255,5.115009308,4.263241291
4.938982487,4.927435875,5.004170895,5.083856106,5.195519924
4.978155136,4.932226181,4.87630558,4.842822075,4.690196037
4.605700016,4.68632555,4.658274651,4.594845295,5.057991982
4.82456255,4.729825497,4.651978016,4.656366825,4.795879841
4.979284286,5.215172291,5.091068745,5.092739105,4.949389935
4.890614986,4.937585354,4.919345379,4.886340618,4.749275208
4.91660881,5.151338577,5.114248753,5.039488316,5.44164896
4.867990494,4.935142517,4.932280064,4.78883791,4.959163666
4.342861176,4.213656902,4.412177563,4.534614563,4.88002491
4.737579823,4.788593292,4.746447563,4.634020329,5.154901981
4.892934322,4.72485733,4.737735271,4.535095215,5.481442451
4.755561352,4.750400543,4.660132408,4.609580517,4.677068233
4.755561352,4.775659561,4.864440918,4.857673168,4.551524162
4.875448227,4.901772976,4.880381584,4.909114838,5.041892052
4.873527527,5.161794186,4.953877926,5.04749918,5.469003201
4.908210754,5.342461109,4.82326746,4.867695808,4.84010601
4.621354103,4.901018143,4.877700329,4.882935524,5.016390324
4.573757172,4.579626083,4.620861053,4.548873901,4.987219334
4.994430065,4.900587559,4.769849777,5.027799606,5.276461601
4.556306362,4.247987747,4.685689449,4.520245552,3.698970079
4.904550076,5.04579258,5.122976303,5.132416725,5.346353054
4.932799816,4.7865448,4.814307213,4.973062515,4.264817715
4.782551765,4.62011385,4.726020336,4.685358524,4.62708807
4.888226986,4.839277267,4.935280323,4.929413319,5.320146084
4.589679241,4.35367012,4.571100235,4.556249142,4.081670284
4.85652113,5.081420898,4.751180649,5.073337078,5.46073103
5.061743259,5.320487976,5.204983711,5.344968796,5.853871822
4.82008934,4.778307438,4.783335686,4.782237053,4.843214035
4.784491062,4.630418301,4.750174046,4.773563862,4.848189354
4.429114342,4.337081432,4.396257401,4.236367226,4.44715786
4.547519207,4.597094059,4.451455593,4.566506386,4.647817612
4.698879242,5.064088345,4.976913929,4.810602665,5
5.029427528,5.082959175,5.203305244,5.236088276,5.190331936
5.029773235,5.144182205,4.914807796,5.023754597,4.770663261
4.823657036,4.885530472,4.858212471,4.597421646,5.375663757
4.509074211,4.44146204,4.607191086,4.694776058,4.639486313
5.02590704,5.033276081,4.900501728,4.954237461,4.857332706
4.582109928,4.711734772,4.591328144,4.464901924,4.313867092
4.905882835,4.99862957,5.104282379,4.925852299,5.057991982
4.853633404,4.845601559,4.825006485,4.860640526,4.940414429
5.148545265,5.38765192,4.998663902,5.313248634,5.265032291
4.608677387,4.608225822,4.507744789,4.576152802,4.037426472
4.609688759,4.494138718,4.631259918,4.671217918,4.872097015
4.66311121,4.647110462,4.571465492,4.673553467,4.592514515
4.999409199,5.152715683,5.04572773,5.035991192,5.301030159
4.762366295,4.679434299,4.690984726,4.730370998,4.710963249
4.338139534,4.086839199,4.402671814,4.33761692,4.31326437
4.86748457,4.803607941,4.795742989,4.778826237,4.805500984
4.902091503,5.130792618,4.9926157,5.0446558,5.369745731
4.812159538,4.710091114,4.704267502,4.733738422,4.778151035
4.764227867,4.701710224,4.78809166,5.039673328,5.245512486
4.897482872,4.759065628,4.966505051,4.980658531,5.275723934
4.925448895,4.896760941,4.838166237,4.958035946,5.151731968
4.757709503,4.806677341,4.762318611,4.701246738,3.045322895
4.843839645,4.871986866,4.881740093,4.866933823,4.06550169
4.787265301,4.789407253,4.848340988,4.618700027,4.012588978
4.936058998,5.131609917,5.154304028,5.171475887,5.28555727
4.766289234,4.633554935,4.697454453,4.701817036,5.071552277
4.566256523,4.573743343,4.488008499,4.299414158,5
4.837337494,4.864182949,4.872682571,4.896569729,6.257678509
4.644151211,4.529802799,4.630357265,4.674577713,6.301030159
4.929539204,5.047958851,4.942761898,4.94504261,5.011281013
4.959109306,5.172630787,5.027510643,5.057754993,5.161850929
4.826219559,4.776803017,4.679388523,4.73750782,4.589949608
5.172998905,5.179872036,5.182936192,5.27604723,5.049218178
4.827665806,5.161823273,4.886889935,4.851186275,5.243038177
4.555406094,4.522014618,4.677375317,4.680169582,4.501059055
4.819173813,4.950919151,4.898656845,4.88004303,4.863523483
4.856207371,4.916302204,4.893430233,4.917746067,4.956534386
4.861196995,4.702649117,4.819617271,4.789016724,5.336459637
4.536817074,4.57562685,4.594328403,4.535608768,4.745074749
4.79776907,4.745596409,4.844566822,4.788162231,4.845098019
4.835464954,4.546079159,4.853504181,4.666312695,5.365488052
4.97179842,4.986083031,5.096877098,5.204731941,5.26951313
5.030533314,5.008664608,5.006795883,4.952775478,4.698969841
5.050589561,5.339310646,5.191394806,5.163328171,5.231948853
5.016603947,5.174552441,4.947973728,4.959877491,4.58982563
4.740648746,4.719863415,4.890954494,4.878041267,4.843855381
4.616698265,4.628712654,4.686798096,4.517130375,4.887295723
4.488974571,4.35307169,4.464295864,4.422732353,4.232995987
4.58448267,4.67054987,4.595054626,4.567696571,4.393618584
4.78990984,4.893553257,4.854703903,4.883972645,5.255272388
4.511850357,4.318913937,4.52128458,4.470643044,4.766412735
4.872309685,4.928107738,4.869757175,4.808265686,4.363177776
4.989998817,5.184270382,4.978782654,5.055344582,5.021189213
4.886991024,5.07029438,5.028812885,5.055245399,5.113943577
4.734137535,4.805412292,4.792695999,4.900292873,5.110589504
4.800321102,4.866815567,4.811971664,4.760856152,4.45593214
4.730391026,5.14187479,4.783349037,4.686933994,5.054357529
5.063842297,5.218749046,5.103076935,5.077684402,4.301030159
4.666911602,4.622181892,4.709352016,4.58574295,4.560667515
4.966929436,5.300126076,5.090330601,5.117694378,5.028333664
4.758076191,4.525241852,4.765750408,4.630062103,5.40993309
4.966057777,5.142582893,5.100981712,5.034001827,4.745855331
5.179123878,5.129210949,4.860768795,5.101861477,4.689308643
4.987557411,5.176696777,5.07541275,4.942503452,5.053078651
4.888989449,5.087332249,5.037283421,5.045468807,5.238046169
4.747826099,4.695487976,4.880728722,4.961910248,5.107210159
5.031177998,5.116809368,5.165168762,5.181226254,5.463039875
4.805832386,4.795483112,4.972789764,4.952854633,4.465383053
4.960760117,5.073300838,5.139041901,5.218562603,5.113943577
4.784175396,4.737716198,5.035478115,4.762417793,4.045322895
4.930161953,4.906843185,5.06663084,5.117659092,5.264817715
4.675795078,4.82801199,4.749063969,4.594929218,4.585026741
4.927553177,4.942013264,5.042755604,5.108954906,5.157608032
4.444833755,4.282557011,4.256129742,4.313458443,4.216316223
4.819261074,4.682736397,4.847222805,4.564202785,5.431798458
5.009048939,5.13060236,5.08004427,5.025817871,5.037426472
4.688295364,4.895179272,4.928351402,4.955881596,4.720985889
4.833129883,4.74682188,4.751289368,4.820094585,4.803705215
4.540920734,4.494795322,4.576930046,4.387064934,3.865301371
4.826589108,5.059023857,4.948357105,4.943556786,4.312025547
4.891260624,4.645851612,4.927096844,4.982840061,4.869231701
4.846342564,4.739494324,4.743088245,4.578425884,3.500976801
4.951996803,4.924996376,5.00077486,5.060943127,4.717670441
4.862688065,4.863454819,4.933595657,4.770801067,4.706717968
4.867669582,4.930844307,5.049192429,5.00363636,4.586587429
5.054341316,5.159245968,5.228682518,5.219237328,5.406467915
4.963534355,5.425368786,5.225646973,5.174538136,5.443697453
4.35167408,4.002918243,4.410372257,4.08771944,3.501230001
4.894044876,5.119974613,5.089923382,5.024039745,4.991044998
4.624144077,4.55995369,4.570432186,4.544065952,4.923761845
4.850255966,4.694996357,4.717990875,4.749724865,4.647382736
4.823408604,4.793693066,4.848293781,4.862950802,4.90309
4.830903053,4.823178291,4.849537373,4.97869873,5
4.450248241,4.190785408,4.298303604,4.217544079,4.337242126
4.771580219,4.660317898,4.765295982,4.639208317,4.84010601
4.891752243,5.015556812,4.951701164,4.985539436,5.045322895
4.81097126,4.881848335,4.810721397,4.822695255,4.363612175
4.898695946,4.853626728,4.897268295,4.515891552,5.54406786
4.725036144,4.821695805,4.755987167,4.924123764,4.942008018
4.779361248,4.671761513,4.64505434,4.409870148,5.076388359
4.907845497,4.838992119,4.882768154,4.813107967,4.986427307
