Structure_index,Exp. Kr,lmax/nm,Exp. lifetime,QY,Refer
1,28571.42857,488,28,0.8,"Chem. Eur. J. 2013, 19, 69-73"
2,42372.88136,482,17.7,0.75,"Adv. Mater. 2013, 25, 6765-6770"
3,238095.2381,520,4.2,1,"Chem. Mater. 2020, 32, 537 "
4,288888.8889,632,1.8,0.52,"Chem. Mater. 2020, 32, 537 "
5,118181.8182,542,5.5,0.65,"Chem. Mater. 2020, 32, 537 "
6,141818.1818,498,5.5,0.78,"Chem. Mater. 2020, 32, 537 "
7,184090.9091,514,4.4,0.81,"Chem. Mater. 2020, 32, 537 "
8,277777.7778,468,3.6,1,"Chem. Mater. 2020, 32, 537 "
9,714285.7143,476,1.4,1,"Chem. Mater. 2020, 32, 537 "
10,270270.2703,480,3.7,1,"Chem. Mater. 2020, 32, 537 "
11,188679.2453,464,5.3,1,"Chem. Mater. 2020, 32, 537 "
12,106741.573,444,8.9,0.95,"Inorg. Chem. 2017, 56, 8244"
13,97959.18367,450,4.9,0.48,"J. Phys. Chem. Lett. 2018, 9, 2285"
14,237500,546,0.8,0.19,"Inorg. Chem. 2017, 56, 8244"
15,89000,444,10,0.89,"Inorg. Chem. 2017, 56, 8244"
16,234285.7143,450,3.5,0.82,"Inorg. Chem. 2017, 56, 8244"
17,145161.2903,450,3.1,0.45,"Inorg. Chem. 2017, 56, 8244"
18,18333.33333,568,0.6,0.011,"Inorg. Chem. 2017, 56, 8244"
19,59259.25926,442,13.5,0.8,"Inorg. Chem. 2017, 56, 8244"
20,294444.4444,496,1.8,0.53,"Inorg. Chem. 2017, 56, 8244"
21,119230.7692,508,2.6,0.31,"Chem. Mater. 2016, 28, 3276"
22,175555.5556,478,4.5,0.79,"Inorg. Chem. 2019, 58, 12348"
23,20000,446,13,0.26,"Inorg. Chem. 2019, 58, 12348"
24,270270.2703,590,0.074,0.02,"Inorg. Chem. 2019, 58, 12348"
25,43373.49398,460,8.3,0.36,"J. Mater. Chem. C, 2017, 5, 9496"
26,71111.11111,468,9,0.64,"Inorg. Chem. 2013, 52, 7344"
27,290429.0429,477,3.03,0.88,"Angew. Chem. Int. Ed. 2017, 56, 9160"
28,254957.5071,477,3.53,0.9,"Angew. Chem. Int. Ed. 2017, 56, 9160"
29,62500,434,0.16,0.01,"Angew. Chem. 2018, 130, 14325"
30,49019.60784,565,0.5,0.03,"Inorg. Chem. 1999, 38, 4046"
31,86666.66667,564,0.6,0.05,"Inorg. Chem. 1999, 38, 4046"
32,103846.1538,568,0.5,0.05,"Inorg. Chem. 1999, 38, 4046"
33,103225.8065,562,0.6,0.06,"Inorg. Chem. 1999, 38, 4046"
34,94444.44444,563,0.7,0.07,"Inorg. Chem. 1999, 38, 4046"
35,90476.19048,566,0.6,0.06,"Inorg. Chem. 1999, 38, 4046"
36,36363.63636,529,5.5,0.2,"Chem. Eur. J. 2007, 13, 417"
37,47540.98361,525,6.1,0.29,"Chem. Eur. J. 2007, 13, 417"
38,63636.36364,537,6.6,0.42,"Chem. Eur. J. 2007, 13, 417"
39,93150.68493,533,7.3,0.68,"Chem. Eur. J. 2007, 13, 417"
40,102631.5789,530,7.6,0.78,"Angew. Chem. Int. Ed. 2015, 54, 2084"
41,73033.70787,529,8.9,0.65,"Angew. Chem. Int. Ed. 2015, 54, 2084"
42,70000,528,2,0.14,"Angew. Chem. Int. Ed. 2015, 54, 2084"
43,70786.51685,534,8.9,0.63,"Angew. Chem. Int. Ed. 2015, 54, 2084"
44,117910.4478,530,6.7,0.79,"Angew. Chem. Int. Ed. 2015, 54, 2084"
45,76842.10526,529,9.5,0.73,"Angew. Chem. Int. Ed. 2015, 54, 2084"
46,69696.9697,585,3.3,0.23,"Angew. Chem. Int. Ed. 2015, 54, 2084"
47,142857.1429,561,0.7,0.1,"Angew. Chem. Int. Ed. 2015, 54, 2084"
48,None,624,None,None,"Angew. Chem. Int. Ed. 2015, 54, 2084"
49,None,621,None,None,"Angew. Chem. Int. Ed. 2015, 54, 2084"
50,24752.47525,588,10.1,0.25,"Angew. Chem. Int. Ed. 2015, 54, 2084"
51,7333.333333,644,4.5,0.03,"Angew. Chem. Int. Ed. 2015, 54, 2084"
52,74489.79592,568,9.8,0.73,"Chem. Eur. J. 2010, 16, 14131 "
53,72727.27273,588,2.2,0.16,"Chem. Eur. J. 2010, 16, 14131 "
54,38461.53846,563,9.1,0.35,"Chem. Eur. J. 2010, 16, 14131 "
55,70000,568,1,0.07,"Chem. Eur. J. 2010, 16, 14131 "
56,35606.06061,558,13.2,0.47,"Chem. Eur. J. 2010, 16, 14131 "
57,100000,582,0.4,0.04,"J. Am. Chem. Soc. 2004, 126, 4958"
58,100000,560,0.6,0.06,"J. Am. Chem. Soc. 2004, 126, 4958"
59,87500,597,0.8,0.07,"J. Am. Chem. Soc. 2004, 126, 4958"
60,114285.7143,603,0.7,0.08,"J. Am. Chem. Soc. 2004, 126, 4958"
61,112500,597,0.8,0.09,"J. Am. Chem. Soc. 2004, 126, 4958"
62,90000,594,1,0.09,"J. Am. Chem. Soc. 2004, 126, 4958"
63,50000,615,1,0.05,"J. Am. Chem. Soc. 2004, 126, 4958"
64,44444.44444,616,0.9,0.04,"J. Am. Chem. Soc. 2004, 126, 4958"
65,36363.63636,616,1.1,0.04,"J. Am. Chem. Soc. 2004, 126, 4958"
66,77142.85714,573,3.5,0.27,"Angew. Chem. Int. Ed. 2015, 54, 2084"
67,180000,521,5.5,0.99,"Angew. Chem. Int. Ed. 2015, 54, 2084"
68,75862.06897,591,8.7,0.66,"Angew. Chem. Int. Ed. 2015, 54, 2084"
69,83333.33333,491,7.2,0.6,"Inorg. Chem. 2003, 42, 8609"
70,72500,481,8,0.58,"Inorg. Chem. 2003, 42, 8609"
71,87179.48718,505,7.8,0.68,"Inorg. Chem. 2003, 42, 8609"
72,55714.28571,504,7,0.39,"Inorg. Chem. 2010, 49, 11276"
73,80000,481,6.5,0.52,"Inorg. Chem. 2010, 49, 11276"
74,103448.2759,471,5.8,0.6,"Inorg. Chem. 2010, 49, 11276"
75,58974.35897,517,7.8,0.46,"Inorg. Chem. 2010, 49, 11276"
76,120833.3333,481,4.8,0.58,"Inorg. Chem. 2010, 49, 11276"
77,96923.07692,485,6.5,0.63,"Inorg. Chem. 2010, 49, 11276"
78,23076.92308,547,13,0.3,"Inorg. Chem. 2010, 49, 11276"
79,56140.35088,484,5.7,0.32,"Inorg. Chem. 2010, 49, 11276"
80,5000,558,40,0.2,"Inorg. Chem. 2010, 49, 11276"
81,20571.42857,592,3.5,0.07,"Inorg. Chem. 2010, 49, 11276"
82,22727.27273,594,4.4,0.1,"Inorg. Chem. 2010, 49, 11276"
83,113333.3333,471,3,0.34,"Inorg. Chem. 2010, 49, 11276"
84,10294.11765,592,3.4,0.04,"Inorg. Chem. 2010, 49, 11276"
85,11627.90698,610,4.3,0.05,"Inorg. Chem. 2010, 49, 11276"
