Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
1,-0.208714871,-0.083881578,5.95736678,6.94,7.62,2.42E-05,2.22848,1357669.405,0.9489,0.5092,5.2815,3.6235,0.9736,0.3426,6.4109,5.2569,0.8051,0.682,4.1221,1.2335,0.7808,0.5579,4.2511,2.8412,0.7893,0.6075,4.1751,1.9764,0.8304,0.5264,4.8664,2.5432,1,2,2,3,1.926189243,2.00241654,2.096454388,2.204113881,126.62195,205.27004,205.34631,312.60859,5422.283649,556.4330844,1.4448,0.8,28571.42857,488,28,,"Chem. Eur. J. 2013, 19, 69-73",,
2,-0.20941224,-0.081400266,4.04347196,12.54,2.49,3.54E-05,2.28075,1357669.662,0.9367,0.5306,5.1208,3.3514,0.9787,0.3259,6.5025,5.3774,0.7716,0.6891,4.0764,1.0429,0.7738,0.5744,4.1671,2.6339,0.7667,0.601,4.1883,1.9119,0.8739,0.4825,5.3978,3.2573,1,2,2,3,1.92645737,1.998720591,2.093994747,2.191680177,126.6148,205.26856,205.34755,312.60225,8127.560336,543.6808068,1.4448,0.75,42372.88136,482,17.7,,"Adv. Mater. 2013, 25, 6765-6770",,
3,-0.201541569,-0.061472749,11.1719099,35.13,132.64,0.0003059,2.59609,1357672.019,0.9353,0.5527,5.3049,2.8262,0.866,0.5812,4.8231,1.7312,0.8752,0.6485,5.1966,2.0159,0.7473,0.5809,4.2769,2.461,0.8033,0.5941,4.2804,1.9993,0.856,0.6033,4.8878,2.0753,1,1,2,2,1.981367457,1.987861665,2.16958844,2.177326112,126.49188,126.52294,205.35141,205.47166,161626.1464,477.6413761,1.4448,0.95,106741.573,444,8.9,,"Inorg. Chem. 2017, 56, 8244",,
4,-0.201967064,-0.062763904,9.2317541,15.4,66.09,0.0004223,2.53544,1357672.472,0.9379,0.6108,5.5525,2.172,0.9068,0.583,5.5038,2.1472,0.8769,0.604,5.1273,1.5772,0.7418,0.6003,4.4402,2.0643,0.8507,0.5965,4.703,1.6997,0.833,0.5914,4.8817,2.0603,1,1,2,2,1.97984166,1.988014839,2.164046672,2.169133007,126.49671,126.52308,205.48241,205.36676,140986.6456,489.0669864,1.4448,0.48,97959.18367,450,4.9,,"J. Phys. Chem. Lett. 2018, 9, 2285",,
5,-0.203538398,-0.090604057,11.6870172,66.76,228.46,0.0008813,2.28372,1357673.321,0.9726,0.3028,6.4221,5.2302,0.9563,0.3563,6.1922,4.7207,0.9548,0.3972,6.6879,5.333,0.9387,0.3138,6.0895,5.126,0.8872,0.3839,5.6862,4.392,0.7991,0.4605,5.0899,3.8242,1,1,2,2,1.97044056,1.982433605,2.14836077,2.153747664,126.49565,126.52371,205.42517,205.46329,340537.3043,542.9737446,1.4448,0.19,237500,546,0.8,,"Inorg. Chem. 2017, 56, 8244",,
6,-0.20239907,-0.058866058,10.58289681,20.54,91.29,0.0004171,2.63634,1357672.61,0.9321,0.6085,5.322,2.2959,0.872,0.6024,4.8327,1.4562,0.8792,0.641,5.135,2.1361,0.7307,0.6137,4.1766,2.0882,0.8334,0.6097,4.5196,1.791,0.8367,0.6185,4.7489,1.7174,1,1,2,2,1.975264539,1.987008304,2.160145828,2.170830947,126.50282,126.52138,205.46434,205.3575,266994.1334,470.3490445,1.4448,0.89,89000,444,10,,"Inorg. Chem. 2017, 56, 8244",,
7,-0.202349457,-0.061460305,10.73888164,20.86,101.74,0.000633,2.64212,1357672.611,0.9474,0.5381,5.3229,2.8452,0.8865,0.5883,4.8369,1.8507,0.8839,0.6806,5.1662,1.6245,0.7406,0.5954,4.2331,2.148,0.8258,0.5976,4.3725,1.9421,0.8601,0.5968,4.8916,1.9344,1,1,2,2,1.975726702,1.986762442,2.158305354,2.173625773,126.50301,126.52052,205.46383,205.36975,281079.7518,469.3200914,1.4448,0.82,234285.7143,450,3.5,,"Inorg. Chem. 2017, 56, 8244",,
8,-0.202140759,-0.059869082,9.73274583,13.18,74.89,0.0003597,2.61019,1357671.841,0.9397,0.5675,5.1613,2.5613,0.8758,0.5813,4.7875,1.6103,0.8701,0.6576,5.0112,1.976,0.7319,0.5968,4.1104,2.1663,0.8343,0.5989,4.3585,1.9686,0.8529,0.6088,4.7533,1.7926,1,1,2,2,1.96853575,1.985901558,2.1668784,2.209421644,126.51083,126.52092,205.47859,205.35576,224628.4008,475.0612024,1.4448,0.45,145161.2903,450,3.1,,"Inorg. Chem. 2017, 56, 8244",,
9,-0.206185853,-0.098690503,9.01741482,43.26,245.1,0.0005421,2.05075,1357673.618,0.9694,0.3158,5.4237,4.1378,0.9531,0.3754,5.2623,3.6634,0.9658,0.3402,5.8127,4.6313,0.9402,0.3214,5.1798,4.0918,0.9162,0.3771,5.1341,3.6487,0.8866,0.3667,5.2652,4.1951,1,1,2,2,1.967514676,1.982948814,2.146892871,2.156862073,126.49679,126.52122,205.46028,205.47335,187371.4117,604.6568329,1.4448,0.011,18333.33333,568,0.6,,"Inorg. Chem. 2017, 56, 8244",,
10,-0.200364762,-0.052329628,13.19867611,75.59,86.77,0.000532,2.63615,1357672.509,0.8741,0.7398,5.1711,0.6824,0.8581,0.628,4.9859,1.4305,0.8631,0.6381,4.8999,0.4665,0.7149,0.7246,4.0796,0.6934,0.7827,0.6423,4.3546,0.4524,0.7949,0.6408,4.4662,0.5204,1,1,2,2,1.976535606,1.98736031,2.160698267,2.172837776,126.5018,126.5234,205.46598,205.3159,223773.9414,470.3829448,1.4448,0.8,59259.25926,442,13.5,,"Inorg. Chem. 2017, 56, 8244",,
11,-0.204344547,-0.092466998,9.51301,54.08,463.64,0.001618,2.13139,1357671.729,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336095,1.992324522,2.171083831,2.171572241,126.4925,126.52393,205.44444,205.47348,492092.7415,581.7799652,1.4448,0.53,294444.4444,496,1.8,,"Inorg. Chem. 2017, 56, 8244",,
12,-0.206302415,-0.07969944,9.25411474,147.21,2008.2,3.69E-05,1.83581,1357668.76,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,126.46735,126.48071,205.42748,126.53376,6457.635632,675.4511632,1.4448,0.31,119230.7692,508,2.6,,"Chem. Mater. 2016, 28, 3276",,
13,-0.203245363,-0.062108655,10.22473423,24.2,93.67,0.0008078,2.62876,1357671.423,0.9236,0.6015,5.5455,2.0819,0.9292,0.4999,5.8995,3.2389,0.859,0.6217,5.1932,1.9929,0.7401,0.6091,4.3831,1.9737,0.7538,0.6052,4.3781,1.2647,0.792,0.5971,4.7886,2.1492,1,1,2,2,1.977539886,1.994009278,2.161619994,2.250840954,126.49538,126.54297,205.36834,205.3713,256820.7268,471.7052907,1.4448,0.36,43373.49398,460,8.3,,"J. Mater. Chem. C, 2017, 5, 9496",,
14,-0.210032038,-0.067738141,11.1566583,59.49,135.26,0.0001896,2.28558,1357672.895,0.8039,0.7064,3.9379,0.5151,0.9061,0.5634,4.9617,1.6608,0.9124,0.4744,4.8819,2.602,0.6854,0.6874,3.3267,0.455,0.788,0.6607,3.9846,1.3937,0.802,0.5028,4.1613,2.6218,1,1,2,2,1.970097967,2.004659572,2.122764471,2.1724065,126.54732,126.51223,205.39164,205.37231,79767.86403,542.5318737,1.4448,0.64,71111.11111,468,9,,"Inorg. Chem. 2013, 52, 7344",,
15,-0.192785228,-0.057872679,1.69769302,127.1,106.52,0.00025,2.30144,1357673.342,0.8226,0.6125,4.0038,0.993,0.8944,0.5668,4.3664,1.2063,0.7947,0.3078,3.4461,1.1591,0.7482,0.6122,3.6256,0.9519,0.74,0.5971,3.4498,0.6077,0.7184,0.6851,3.6948,0.6588,1,1,2,2,1.95376278,1.978912328,2.108718094,2.139895558,126.57105,126.56436,205.42952,205.42769,105748.5248,538.7931034,1.406,0.88,290429.0429,477,3.03,,"Angew. Chem. Int. Ed. 2017, 56, 9160",,
16,-0.191755464,-0.057956088,1.55173032,133.8,123.72,0.0002497,2.27177,1357673.956,0.8227,0.6121,4.0034,1.074,0.8956,0.5656,4.3873,1.355,0.796,0.3718,3.4443,1.1812,0.7478,0.6115,3.6242,1.0294,0.7442,0.5921,3.4877,0.6477,0.7195,0.6788,3.7021,0.6749,1,1,2,2,1.951061762,1.97944765,2.099232955,2.136987131,126.57142,126.56596,205.43145,205.42625,99686.81573,545.8299036,1.406,0.9,254957.5071,477,3.53,,"Angew. Chem. Int. Ed. 2017, 56, 9160",,
17,-0.207465891,-0.090142499,11.50353094,158.01,817.73,0.0001485,1.77325,1357667.727,0.8172,0.5418,4.3235,1.9022,0.8349,0.4949,4.4535,2.4806,0.5057,0.5273,2.8966,2.0622,0.7141,0.5457,3.5645,1.8755,0.7882,0.5037,4.2506,2.3872,0.6186,0.6125,3.6255,1.3904,1,1,3,3,1.959596387,1.971804503,2.118043673,2.118064683,126.617,126.71898,312.72961,312.6849,42023.06235,699.2809812,1.4305,0.01,62500,434,0.16,,"Angew. Chem. 2018, 130, 14325",,
18,-0.23060676,-0.10677337,15.33259915,27.57,345.21,0.0006371,2.12369,1357669.183,0.8541,0.5234,4.4608,3.0537,0.8483,0.4859,4.0555,2.5567,0.8224,0.6506,4.1408,1.4911,0.8057,0.5307,4.183,3.0097,0.7217,0.537,3.5064,2.3259,0.7297,0.6131,3.6743,1.7332,1,2,2,4,1.973755811,1.977385142,2.118224964,2.399688521,126.59587,205.32071,205.43204,3311.01211,161340.8246,583.8893624,1.4448,0.03,49019.60784,565,0.5,,"Inorg. Chem. 1999, 38, 4046",,
19,-0.235616956,-0.105836881,16.39923495,797.03,119.29,0.0003037,2.10281,1357669.863,0.8427,0.6038,4.6375,2.2363,0.8302,0.6363,4.6262,1.9304,0.8817,0.5517,4.8647,2.6047,0.7394,0.6114,4.1897,2.1397,0.8001,0.6295,4.4016,2.0319,0.7523,0.5782,3.898,2.1381,2,1,2,4,1.921590227,2.018833822,2.195051252,2.366087488,205.33361,126.58646,205.41446,3310.98496,88789.04168,589.6871329,1.4448,0.05,86666.66667,564,0.6,,"Inorg. Chem. 1999, 38, 4046",,
20,-0.235909743,-0.107209133,14.57355426,787.21,115.84,0.0002867,2.08252,1357669.954,0.8439,0.6165,4.7102,2.1147,0.83,0.632,4.7936,1.9259,0.8851,0.5492,4.9642,2.5467,0.7404,0.6161,4.3143,2.0662,0.8026,0.6333,4.4804,1.9365,0.759,0.5668,3.9551,1.993,2,1,2,4,1.92278678,2.018271042,2.189813234,2.364201768,205.33235,126.58849,205.41246,3310.98023,87934.22466,595.4324568,1.4448,0.05,103846.1538,568,0.5,,"Inorg. Chem. 1999, 38, 4046",,
21,-0.230409572,-0.106916556,17.0127554,30.44,351.07,0.0009504,2.12858,1357669.121,0.8579,0.5101,4.6027,3.0362,0.8462,0.4725,4.3231,1.6551,0.831,0.3732,4.0914,2.3538,0.8124,0.5147,4.3103,2.986,0.7564,0.5517,4.0498,1.3968,0.7121,0.61,3.7703,1.8721,1,2,2,4,1.973638771,1.976072873,2.121343442,2.399301148,126.59474,205.30974,205.43418,3311.01034,221503.8982,582.5479897,1.4448,0.06,103225.8065,562,0.6,,"Inorg. Chem. 1999, 38, 4046",,
22,-0.230020067,-0.103235699,17.7063429,780.49,20.9,0.0002534,2.08519,1357669.683,0.8506,0.5173,4.6647,2.6471,0.8517,0.5999,5.0814,1.4715,0.8073,0.3177,4.1643,3.2321,0.7551,0.6093,4.4773,1.529,0.81,0.5146,4.4298,2.7773,0.7828,0.3159,4.0591,3.22,2,1,2,4,1.925360486,2.020692208,2.181524467,2.371319042,205.32056,126.58717,205.41759,3310.97889,73512.57997,594.6700301,1.4448,0.07,94444.44444,563,0.7,,"Inorg. Chem. 1999, 38, 4046",,
23,-0.231285858,-0.104670444,15.7613557,728.78,58.59,0.0002446,2.08069,1357669.526,0.8468,0.5365,4.7066,2.2624,0.8527,0.5936,5.1839,1.3435,0.8006,0.3201,4.2588,3.4362,0.7512,0.606,4.493,1.5846,0.8071,0.5247,4.4725,2.6045,0.7826,0.5673,4.4264,1.8321,2,1,2,4,1.929212015,2.01891877,2.185745639,2.373536812,205.32354,126.58732,205.41418,3310.98435,68997.53291,595.9561492,1.4448,0.06,90476.19048,566,0.6,,"Inorg. Chem. 1999, 38, 4046",,
